Instance,Runtime (seconds),Feasible,Profit,Error
lrc103C.txt,0.53,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc103C.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/main.py"", line 4, in <module>
    from heuristic import get_route_nearest_neighborhood 
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/heuristic.py"", line 8, in <module>
    from .helper import calculate_euclidean_distance
ImportError: attempted relative import with no known parent package
]"
lrc303C.txt,0.15,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc303C.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/main.py"", line 4, in <module>
    from heuristic import get_route_nearest_neighborhood 
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/heuristic.py"", line 8, in <module>
    from .helper import calculate_euclidean_distance
ImportError: attempted relative import with no known parent package
]"
lrc203C.txt,0.15,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc203C.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/main.py"", line 4, in <module>
    from heuristic import get_route_nearest_neighborhood 
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/heuristic.py"", line 8, in <module>
    from .helper import calculate_euclidean_distance
ImportError: attempted relative import with no known parent package
]"
