Instance,Runtime (seconds),Feasible,Profit,Error
lrc53B.txt,0.40,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc53B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/main.py"", line 5, in <module>
    import animated
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/animated.py"", line 9, in <module>
    from IPython.display import HTML
ModuleNotFoundError: No module named 'IPython'
]"
lrc103B.txt,0.33,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc103B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/main.py"", line 5, in <module>
    import animated
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/animated.py"", line 9, in <module>
    from IPython.display import HTML
ModuleNotFoundError: No module named 'IPython'
]"
lrc303B.txt,0.32,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc303B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/main.py"", line 5, in <module>
    import animated
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-11/Group11/animated.py"", line 9, in <module>
    from IPython.display import HTML
ModuleNotFoundError: No module named 'IPython'
]"
