Instance,Runtime (seconds),Feasible,Profit,Error
lrc33.txt,0.43,No,-inf,"[Number of trucks exceeded]; [Delivery before pickup OR only pickup, no delivery]"
lrc34.txt,0.43,No,-inf,"[Number of trucks exceeded]; [Delivery before pickup OR only pickup, no delivery]"
