Instance,Runtime (seconds),Feasible,Profit,Error
lrc53B.txt,0.52,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc53B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/main.py"", line 65, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/main.py"", line 36, in main
    cheapest_insertion = cheapest_insertion_routes_from_instance(instance_dict, 25)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/heuristics.py"", line 134, in cheapest_insertion_routes_from_instance
    visualize_routes(routes, node_data, number_customer, ""cheapest insertion"")
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/helper.py"", line 349, in visualize_routes
    plt.savefig(""Figures/""+name+""_visualisation.svg"", format=""svg"")
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/pyplot.py"", line 1134, in savefig
    res = fig.savefig(*args, **kwargs)  # type: ignore[func-returns-value]
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/figure.py"", line 3390, in savefig
    self.canvas.print_figure(fname, **kwargs)
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py"", line 2193, in print_figure
    result = print_method(
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py"", line 2043, in <lambda>
    print_method = functools.wraps(meth)(lambda *args, **kwargs: meth(
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backends/backend_svg.py"", line 1328, in print_svg
    with cbook.open_file_cm(filename, ""w"", encoding=""utf-8"") as fh:
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/cbook.py"", line 497, in open_file_cm
    fh, opened = to_filehandle(path_or_file, mode, True, encoding)
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/cbook.py"", line 483, in to_filehandle
    fh = open(fname, flag, encoding=encoding)
FileNotFoundError: [Errno 2] No such file or directory: 'Figures/cheapest insertion_visualisation.svg'
]"
lrc103B.txt,0.54,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc103B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/main.py"", line 65, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/main.py"", line 36, in main
    cheapest_insertion = cheapest_insertion_routes_from_instance(instance_dict, 25)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/heuristics.py"", line 134, in cheapest_insertion_routes_from_instance
    visualize_routes(routes, node_data, number_customer, ""cheapest insertion"")
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/helper.py"", line 349, in visualize_routes
    plt.savefig(""Figures/""+name+""_visualisation.svg"", format=""svg"")
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/pyplot.py"", line 1134, in savefig
    res = fig.savefig(*args, **kwargs)  # type: ignore[func-returns-value]
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/figure.py"", line 3390, in savefig
    self.canvas.print_figure(fname, **kwargs)
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py"", line 2193, in print_figure
    result = print_method(
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py"", line 2043, in <lambda>
    print_method = functools.wraps(meth)(lambda *args, **kwargs: meth(
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backends/backend_svg.py"", line 1328, in print_svg
    with cbook.open_file_cm(filename, ""w"", encoding=""utf-8"") as fh:
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/cbook.py"", line 497, in open_file_cm
    fh, opened = to_filehandle(path_or_file, mode, True, encoding)
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/cbook.py"", line 483, in to_filehandle
    fh = open(fname, flag, encoding=encoding)
FileNotFoundError: [Errno 2] No such file or directory: 'Figures/cheapest insertion_visualisation.svg'
]"
lrc303B.txt,0.74,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc303B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/main.py"", line 65, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/main.py"", line 36, in main
    cheapest_insertion = cheapest_insertion_routes_from_instance(instance_dict, 25)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/heuristics.py"", line 134, in cheapest_insertion_routes_from_instance
    visualize_routes(routes, node_data, number_customer, ""cheapest insertion"")
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-8/Group8/helper.py"", line 349, in visualize_routes
    plt.savefig(""Figures/""+name+""_visualisation.svg"", format=""svg"")
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/pyplot.py"", line 1134, in savefig
    res = fig.savefig(*args, **kwargs)  # type: ignore[func-returns-value]
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/figure.py"", line 3390, in savefig
    self.canvas.print_figure(fname, **kwargs)
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py"", line 2193, in print_figure
    result = print_method(
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py"", line 2043, in <lambda>
    print_method = functools.wraps(meth)(lambda *args, **kwargs: meth(
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/backends/backend_svg.py"", line 1328, in print_svg
    with cbook.open_file_cm(filename, ""w"", encoding=""utf-8"") as fh:
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/cbook.py"", line 497, in open_file_cm
    fh, opened = to_filehandle(path_or_file, mode, True, encoding)
  File ""/home/akkermanfr/.local/lib/python3.10/site-packages/matplotlib/cbook.py"", line 483, in to_filehandle
    fh = open(fname, flag, encoding=encoding)
FileNotFoundError: [Errno 2] No such file or directory: 'Figures/cheapest insertion_visualisation.svg'
]"
