Instance,Runtime (seconds),Feasible,Profit,Error
lrc53B.txt,0.33,No,-inf,[Vehicle capacity exceeded]
lrc103B.txt,0.37,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc103B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-10/Group10/main.py"", line 80, in <module>
    sol = main(instance, strategy)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-10/Group10/main.py"", line 41, in main
    computed_instance = nn.generate_nearest_neighbour_route()
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-10/Group10/heuristic.py"", line 101, in generate_nearest_neighbour_route
    del unassigned_pickups[nearest_customer['id']]
TypeError: 'NoneType' object is not subscriptable
]"
lrc303B.txt,0.47,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc303B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-10/Group10/main.py"", line 80, in <module>
    sol = main(instance, strategy)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-10/Group10/main.py"", line 41, in main
    computed_instance = nn.generate_nearest_neighbour_route()
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-10/Group10/heuristic.py"", line 101, in generate_nearest_neighbour_route
    del unassigned_pickups[nearest_customer['id']]
TypeError: 'NoneType' object is not subscriptable
]"
