Instance,Runtime (seconds),Feasible,Profit,Error
lrc103C.txt,0.18,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc103C.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 817, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 775, in main
    routesNN, params = find_best_solution(instance_dict)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 258, in find_best_solution
    profit = eval_solution(routes2)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 274, in eval_solution
    check_solution_feasibility(solution, instance_dict)
NameError: name 'instance_dict' is not defined
]"
lrc303C.txt,0.27,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc303C.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 817, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 775, in main
    routesNN, params = find_best_solution(instance_dict)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 258, in find_best_solution
    profit = eval_solution(routes2)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 274, in eval_solution
    check_solution_feasibility(solution, instance_dict)
NameError: name 'instance_dict' is not defined
]"
lrc203C.txt,0.22,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc203C.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 817, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 775, in main
    routesNN, params = find_best_solution(instance_dict)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 258, in find_best_solution
    profit = eval_solution(routes2)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-6/Group6/main.py"", line 274, in eval_solution
    check_solution_feasibility(solution, instance_dict)
NameError: name 'instance_dict' is not defined
]"
