Instance,Runtime (seconds),Feasible,Profit,Error
lrc53B.txt,0.22,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc53B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/main.py"", line 109, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/main.py"", line 84, in main
    check_solution_feasibility(solution, instance_dict)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/helper.py"", line 181, in check_solution_feasibility
    if not check_start_end_at_depot(solution, instance_dict):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/helper.py"", line 135, in check_start_end_at_depot
    start_depot_id, end_depot_id = route[0]['node_id'], route[-1]['node_id']
IndexError: list index out of range
]"
lrc103B.txt,0.70,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc103B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/main.py"", line 109, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/main.py"", line 84, in main
    check_solution_feasibility(solution, instance_dict)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/helper.py"", line 181, in check_solution_feasibility
    if not check_start_end_at_depot(solution, instance_dict):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/helper.py"", line 135, in check_start_end_at_depot
    start_depot_id, end_depot_id = route[0]['node_id'], route[-1]['node_id']
IndexError: list index out of range
]"
lrc303B.txt,15.34,No,-inf,"[Error running script: Command '['python3', 'main.py', '--instance_path', '/home/akkermanfr/competition_master/Instances/lrc303B.txt']' returned non-zero exit status 1.. Details: Traceback (most recent call last):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/main.py"", line 109, in <module>
    sol = main(instance)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/main.py"", line 84, in main
    check_solution_feasibility(solution, instance_dict)
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/helper.py"", line 181, in check_solution_feasibility
    if not check_start_end_at_depot(solution, instance_dict):
  File ""/home/akkermanfr/repos/tlm-assignment-2-furniture-distribution-company-submissions/tlm-assignment-2-furniture-distribution-company-group-2/Group2/helper.py"", line 135, in check_start_end_at_depot
    start_depot_id, end_depot_id = route[0]['node_id'], route[-1]['node_id']
IndexError: list index out of range
]"
